broker_order_id,ticker,side,quantity,price,status,raw_json
0212130,285130,BUY,21,43800,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0212130"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0212236,285130,SELL,21,44200,매도주문이 완료되었습니다.,"{""ord_no"": ""0212236"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0225710,000500,BUY,1,330500,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0225710"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0225727,000500,SELL,1,332500,매도주문이 완료되었습니다.,"{""ord_no"": ""0225727"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0236154,062040,BUY,1,229500,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0236154"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0236161,062040,SELL,1,231000,매도주문이 완료되었습니다.,"{""ord_no"": ""0236161"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0245654,443060,BUY,1,254000,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0245654"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0245667,443060,SELL,1,255500,매도주문이 완료되었습니다.,"{""ord_no"": ""0245667"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0255298,001800,BUY,13,26800,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0255298"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0255311,001800,SELL,13,27050,매도주문이 완료되었습니다.,"{""ord_no"": ""0255311"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0263971,192080,BUY,2,72300,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0263971"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0263982,192080,SELL,2,72600,매도주문이 완료되었습니다.,"{""ord_no"": ""0263982"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0273668,298050,BUY,1,202500,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0273668"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0273677,298050,SELL,1,203500,매도주문이 완료되었습니다.,"{""ord_no"": ""0273677"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0282029,051600,BUY,3,50000,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0282029"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0282033,051600,SELL,3,50200,매도주문이 완료되었습니다.,"{""ord_no"": ""0282033"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0290327,078930,BUY,1,73000,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0290327"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0290334,078930,SELL,1,73400,매도주문이 완료되었습니다.,"{""ord_no"": ""0290334"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0297406,014820,BUY,3,22100,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0297406"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0297409,014820,SELL,3,22250,매도주문이 완료되었습니다.,"{""ord_no"": ""0297409"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0304876,181710,BUY,1,40200,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0304876"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0304885,181710,SELL,1,40450,매도주문이 완료되었습니다.,"{""ord_no"": ""0304885"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0311861,017900,BUY,4,9300,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0311861"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0311925,017900,SELL,4,9340,매도주문이 완료되었습니다.,"{""ord_no"": ""0311925"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0314279,000500,SELL,1,0,매도주문이 완료되었습니다.,"{""ord_no"": ""0314279"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0323602,120110,BUY,1,76300,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0323602"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0323612,120110,SELL,1,76700,매도주문이 완료되었습니다.,"{""ord_no"": ""0323612"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0330966,028670,BUY,20,5190,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0330966"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0330979,028670,SELL,20,5210,매도주문이 완료되었습니다.,"{""ord_no"": ""0330979"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0337949,009970,BUY,1,188400,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0337949"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0337959,009970,SELL,1,189500,매도주문이 완료되었습니다.,"{""ord_no"": ""0337959"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
