broker_order_id,ticker,side,quantity,price,status,raw_json
0134325,445680,BUY,7,47250,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0134325"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0134918,445680,SELL,7,47950,KRX 매도주문이 완료되었습니다.,"{""ord_no"": ""0134918"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매도주문이 완료되었습니다."", ""planned_entry_price"": 47250, ""planned_expect_price"": 48000, ""planned_target_price"": 47950, ""planned_profit_tick_distance"": 15, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0135158,330860,BUY,14,23800,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0135158"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0135387,330860,SELL,14,24050,KRX 매도주문이 완료되었습니다.,"{""ord_no"": ""0135387"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매도주문이 완료되었습니다."", ""planned_entry_price"": 23800, ""planned_expect_price"": 24100, ""planned_target_price"": 24050, ""planned_profit_tick_distance"": 6, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0135612,219130,BUY,5,61500,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0135612"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0135629,219130,SELL,5,62000,KRX 매도주문이 완료되었습니다.,"{""ord_no"": ""0135629"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매도주문이 완료되었습니다."", ""planned_entry_price"": 61400, ""planned_expect_price"": 62100, ""planned_target_price"": 62000, ""planned_profit_tick_distance"": 7, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0212397,219130,SELL,5,0,KRX 매도주문이 완료되었습니다.,"{""ord_no"": ""0212397"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매도주문이 완료되었습니다.""}"
