session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-10,601267,-10680,1514,9081,5045090,5045005,-0.2117,-1.7762,"005090,004990,028670,008770,192080,081660,462870,181710,000430,161390,066575,069960,383220,064400,078930,009420,326030,000370,281820,005940"
2026-06-11,552046,-18318,4036,24222,13446875,13456815,-0.1362,-3.3182,"180640,085620,323410,001450,012750,120110,181710,279570,000430,005090,016380,092200,475150,069960,036460,217590,499790,000370,010690,161390,003160,066575,281820"
2026-06-12,950861,-29418,2914,17475,9717130,9708100,-0.3027,-3.0938,"014680,042700,028050,375500,006360,047050,001800,161390,192080,017800,078930,014830,017900,285130,018670,195870,009970,181710,499790,064400,025540,111770,085620,030200,120110"
2026-06-15,915582,-24038,3127,18761,10424920,10422770,-0.2306,-2.6254,"103590,001430,066570,018260,020150,006360,004990,336260,229640,352820,005090,192650,217590,092200,012750,009420,489790,010820,085620,001120,181710,001510,003540,484870,120110,381970"
2026-06-16,879149,-14356,2282,13694,7606020,7607640,-0.1887,-1.6329,"020150,302440,003720,051600,004990,081660,036460,499790,120110,161890,005090,112610,192820,005070,077970,108320,336370,452260,090460,178920,079900,006405,192080,003540"
