session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-10,601267,1008,1305,7842,4346420,4356575,0.0232,0.1676,"005090,028670,181710,008770,281820,192080,069960,004990,000430,195870,085620"
2026-06-11,552046,-9094,1285,7709,4282790,4282690,-0.2123,-1.6473,"000430,120110,005090,499790,181710,092200,000370,003160"
2026-06-12,950861,-14614,1181,7083,3941350,3935000,-0.3708,-1.5369,"014680,298050,001800,062040,192080,195870,009970,018670,285130,499790,014820"
2026-06-15,915582,-32336,1281,7665,4281830,4258440,-0.7552,-3.5317,"005090,012750,092200,020150,499790,217590,010820,085620,120110,003540,181710"
2026-06-16,879149,15459,1358,8172,4515280,4540270,0.3424,1.7584,"000210,020150,081660,302440,484870,004990,000500,051600,003720,033240,015860,012750,005090,285130,097950,108320"
2026-06-17,2123690,-2569,2965,17804,9873120,9891320,-0.0260,-0.1210,"006260,181710,326030,002380,000210,005090,285130,012750,001800,000240,001530,000430,081660,000155"
