session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-10,601267,-15127,1808,10848,6029230,6026760,-0.2509,-2.5159,"005090,004990,028670,008770,192080,081660,462870,181710,000430,066575,069960,383220,161390,092200,001450,078930,489790,064400,281820,009420,088350,175330"
2026-06-11,552046,-18909,2075,12444,6917695,6913305,-0.2733,-3.4253,"180640,085620,323410,001450,120110,181710,012750,000430,279570,009420,005090,016380,092200,475150,000370,069960,036460,003160"
2026-06-12,950861,-28945,2202,13198,7345785,7332240,-0.3940,-3.0441,"014680,042700,028050,375500,006360,047050,001800,161390,192080,010120,017800,030200,085620,014830,018880,285130,018670,195870,009970,499790,181710,064400"
2026-06-15,915582,-9553,2478,14875,8255980,8263780,-0.1157,-1.0434,"103590,001430,066570,018260,020150,006360,004990,336260,229640,352820,005090,217590,499790,009420,489790,192650,001120,010820,001510,085620,181710"
2026-06-16,879149,-22032,1702,10205,5679335,5669210,-0.3879,-2.5061,"020150,003720,302440,051600,004990,081660,036460,499790,120110,005090,161890,452260,016380,192820,022100,005070,108320"
