session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-10,601267,-3626,47,279,158400,155100,-2.2891,-0.6031,005090
2026-06-11,552046,-2090,49,291,163450,161700,-1.2787,-0.3786,323410
2026-06-12,950861,1461,191,1148,635050,637850,0.2301,0.1537,"081660,285130,499790"
2026-06-15,915582,-16755,124,731,421950,406050,-3.9708,-1.8300,"005090,181710"
2026-06-16,879149,828,60,362,199750,201000,0.4145,0.0942,302440
2026-06-17,2123690,-3757,51,305,173000,169600,-2.1717,-0.1769,000120
