session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-16,879149,30,1266,7604,4215600,4224500,0.0007,0.0034,"036570,336260,022100,036460,066570,081660,033240,035420,010120,285130,015760,003670,484870,016380,005387"
2026-06-17,2123690,-7887,6391,38376,21283310,21320190,-0.0371,-0.3714,"028260,012330,005380,009540,006400,010120,035420,035720,009155,017960,000810,011200,005935,090460,051910,267250,139480,003540,192650,195870,375500,005850,000430,092200,018880,069960,030000,010820"
