session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-10,601267,-4883,1469,8819,4893870,4899275,-0.0998,-0.8121,"085620,069960,181710,008770,036460,462870,005090,005940,000430,066575,009420,383220,003160,064400,161390,192080,028670,088350,281820,175330"
2026-06-11,552046,-19102,2879,17278,9597590,9598645,-0.1990,-3.4602,"180640,085620,323410,120110,005090,016380,181710,499790,000370,475150,001450,012750,003160,000430,010690,217590,281820,092200,066575"
2026-06-12,950861,9103,1718,10329,5717150,5738300,0.1592,0.9573,"443060,042700,047040,047050,014830,078930,009970,020150,499790,030200,192080,085620,018670,014820,375500,025540,005850,018260"
2026-06-15,915582,-13704,1175,7044,3918705,3913220,-0.3497,-1.4968,"036570,103590,005090,006360,352820,499790,120110,020150,001510,090460"
2026-06-16,879149,8490,1708,10267,5683370,5703835,0.1494,0.9657,"036570,336260,022100,036460,066570,035420,081660,010120,161890,112610,015760,383220,003670,097950,108320,484870,000430,005387,016380,005180"
