session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-16,879149,-21064,1625,9739,5420500,5410800,-0.3886,-2.3960,"036570,336260,022100,036460,066570,005387,081660,035420,161390,326030,120110,010120,097230,000100,015760,003670,484870,192820"
2026-06-17,2123690,-21155,6563,39401,21864900,21889710,-0.0968,-0.9961,"028260,012330,005380,009540,006400,010120,035420,035720,009155,017960,000810,011200,005935,090460,267250,004370,003540,092200,195870,375500,005850,103140,192650,010820,000120,066575,081660"
