session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-10,601267,-6777,280,1677,936240,931420,-0.7239,-1.1271,"004990,000430,005090,028670"
2026-06-11,552046,-8474,433,2595,1447220,1441775,-0.5855,-1.5350,"120110,499790,005090,181710,092200,000370,000430"
2026-06-12,950861,12459,497,2995,1647800,1663750,0.7561,1.3103,"001800,003160,298050,009970,285130,192080,195870"
2026-06-15,915582,-9830,437,2613,1458640,1451860,-0.6739,-1.0736,"012750,009420,010820,020150,005090,217590,181710"
2026-06-16,879149,9048,407,2455,1352030,1363940,0.6692,1.0292,"006110,499790,285130,302440,484870,000430,020150"
2026-06-17,2123690,-9772,1650,9902,5499410,5501190,-0.1777,-0.4601,"111770,011170,450080,003000,001530,001120,010820,006360,229640,005070,009420,077970,000210,001430,004800,001800,000430,108320,003160,000240,012750,029780,192650"
