session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-10,601267,-11275,1783,10701,5943975,5945185,-0.1897,-1.8752,"005090,028670,004990,085620,008770,081660,462870,181710,000430,092200,069960,088350,078930,161390,000370,192080,281820,009420,005940"
2026-06-11,552046,-16962,1873,11234,6245235,6241380,-0.2716,-3.0726,"120110,323410,085620,009420,000430,005090,279570,016380,092200,181710,000370,217590"
2026-06-12,950861,-17098,2129,12770,7096400,7094200,-0.2409,-1.7982,"081660,014680,042700,285130,014820,001800,014830,047050,192080,298050,085620,097950,010120,020150,195870,009970,006360,499790,120110,025540"
2026-06-15,915582,-16433,2324,13944,7747025,7746860,-0.2121,-1.7948,"103590,001430,192650,005090,092200,001120,012750,006360,229640,001510,336260,009420,352820,120110,020150,010820,085620,181710"
2026-06-16,879149,-8492,1731,10391,5769160,5772790,-0.1472,-0.9659,"020150,302440,003720,004990,051600,079900,499790,005070,001250,000430,005090,285130,000210,016380,022100,484870,108320"
2026-06-17,2123690,-25997,3735,22411,12450680,12450830,-0.2088,-1.2241,"028260,012330,005380,009540,006400,010120,071050,078930,005385,051900,005387,001120,003540,004800,047050,000210,085620,192650,003160"
