session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-10,601267,2038,1210,7267,4026885,4037400,0.0506,0.3390,"005090,000370,008770,081660,462870,181710,000430,069960,004990,088350,028670,092200,078930,192080,009420,161390,281820"
2026-06-11,552046,-13104,2533,15201,8440540,8445170,-0.1553,-2.3737,"120110,085620,323410,000430,279570,005090,009420,016380,181710,000370,092200,001450,217590,281820,499790"
2026-06-12,950861,-14345,1493,8953,4977650,4973750,-0.2882,-1.5086,"042700,014680,006360,047050,081660,051600,010120,062040,018670,195870,009970,499790,001800,120110,025540,483650"
2026-06-15,915582,-27428,1489,8919,4971990,4954970,-0.5517,-2.9957,"103590,001430,192650,005090,006360,229640,092200,009420,484870,010060,051600,081660,008770,120110,352820"
2026-06-16,879149,-6862,659,3953,2198150,2195900,-0.3122,-0.7805,"020150,004990,229640,302440,005070,178920,192080,051600"
