session_date,ticker,name,prev_close_price,market_cap,trading_value,trend_ok,source
2026-07-13,005387,현대차2우B,204000,7132641720000,24133672450,1,universe_startup
2026-07-13,064400,LG씨엔에스,71100,6888590902800,67846256150,1,universe_startup
2026-07-13,000880,한화,93600,6599541218400,14750737950,1,universe_startup
2026-07-13,326030,SK바이오팜,82400,6453011800000,7444502100,1,universe_startup
2026-07-13,021240,코웨이,89900,6361991597400,15136580700,1,universe_startup
2026-07-13,032640,LG유플러스,14960,6349438870720,15775331115,1,universe_startup
2026-07-13,267270,HD건설기계,130300,6244223179100,36985447400,1,universe_startup
2026-07-13,241560,두산밥캣,62900,6029346488500,7763116650,1,universe_startup
2026-07-13,353200,대덕전자,120900,5974506232500,307689679100,1,universe_startup
2026-07-13,004170,신세계,629000,5941018849000,36337809500,1,universe_startup
2026-07-13,001440,대한전선,30250,5928776029000,67542493900,1,universe_startup
2026-07-13,062040,산일전기,189100,5789457235000,36406718500,1,universe_startup
2026-07-13,029780,삼성카드,48400,5607570324400,7666244600,1,universe_startup
2026-07-13,138930,BNK금융지주,17850,5539337539050,22134642340,1,universe_startup
2026-07-13,034220,LG디스플레이,11010,5505000000000,42115367455,1,universe_startup
2026-07-13,009830,한화솔루션,31900,5483371898400,92477439975,1,universe_startup
2026-07-13,000100,유한양행,68500,5455860668500,17051821100,1,universe_startup
2026-07-13,271560,오리온,137100,5419396834800,19779215900,1,universe_startup
2026-07-13,036570,NC,248500,5353689467000,19997609750,1,universe_startup
2026-07-13,000990,DB하이텍,121900,5303209277200,58952528500,1,universe_startup
2026-07-13,377300,카카오페이,38850,5255244356250,6404433525,1,universe_startup
2026-07-13,128940,한미약품,389000,4983475499000,44230609000,1,universe_startup
2026-07-13,175330,JB금융지주,26050,4904005863200,11652490125,1,universe_startup
2026-07-13,088980,맥쿼리인프라,10230,4899371988390,12681502300,1,universe_startup
2026-07-13,454910,두산로보틱스,74500,4829088510000,28202243150,1,universe_startup
2026-07-13,005385,현대차우,204500,4773226320000,19649256250,1,universe_startup
2026-07-13,011790,SKC,94600,4691998990800,21825369500,1,universe_startup
2026-07-13,023530,롯데쇼핑,155300,4393243651500,19278107800,1,universe_startup
2026-07-13,000500,가온전선,254500,4210222767500,54324457000,1,universe_startup
2026-07-13,001040,CJ,142200,4148969115600,21039440250,1,universe_startup
2026-07-13,066970,엘앤에프,100500,4088568336000,36725039350,1,universe_startup
2026-07-13,088350,한화생명,4650,4038664500000,22231758137,1,universe_startup
2026-07-13,052690,한전기술,102200,3906084000000,13528298400,1,universe_startup
2026-07-13,002380,KCC,453500,3896878336000,7932077250,1,universe_startup
2026-07-13,082740,한화엔진,46600,3888636817200,34283678050,1,universe_startup
2026-07-13,111770,영원무역,87000,3855097716000,6904410550,1,universe_startup
2026-07-13,018880,한온시스템,3605,3699676499960,22279094280,1,universe_startup
2026-07-13,010060,OCI홀딩스,197800,3692971889600,28783887950,1,universe_startup
2026-07-13,051900,LG생활건강,245000,3669003135000,9113973750,1,universe_startup
2026-07-13,069960,현대백화점,167100,3603496795200,17537713200,1,universe_startup
2026-07-13,004020,현대제철,26900,3589691616500,17049527825,1,universe_startup
2026-07-13,001450,현대해상,38150,3252220737500,18305493650,1,universe_startup
2026-07-13,103590,일진전기,66200,3156772818000,19128060500,1,universe_startup
2026-07-13,035250,강원랜드,14610,3125670705000,6644684640,1,universe_startup
2026-07-13,336260,두산퓨얼셀,47050,3081479808300,14238513025,1,universe_startup
2026-07-13,251270,넷마블,37550,3076643141050,6518885200,1,universe_startup
2026-07-13,022100,포스코DX,20200,3071101525800,5449358870,1,universe_startup
2026-07-13,036460,한국가스공사,33050,3050944650000,5626190800,1,universe_startup
2026-07-13,009420,한올바이오파마,57400,2998612621200,24520321250,1,universe_startup
2026-07-13,383220,F&F,77600,2972629020000,7148552250,1,universe_startup
2026-07-13,011780,금호석유화학,117400,2953469955000,9221009200,1,universe_startup
2026-07-13,097950,CJ제일제당,191000,2875349526000,7778828350,1,universe_startup
2026-07-13,139130,iM금융지주,17850,2867148806550,6354420765,1,universe_startup
2026-07-13,028670,팬오션,5250,2806489938000,12436734585,1,universe_startup
2026-07-13,012750,에스원,73000,2773939994000,6354615400,1,universe_startup
2026-07-13,014680,한솔케미칼,248500,2736705401500,10894321000,1,universe_startup
2026-07-13,006360,GS건설,31850,2725770456500,133818408200,1,universe_startup
2026-07-13,017800,현대엘리베이터,69500,2716920757500,7746932650,1,universe_startup
2026-07-13,450080,에코프로머티,38100,2698008447000,14303882975,1,universe_startup
2026-07-13,011170,롯데케미칼,61800,2643520894200,6041344050,1,universe_startup
2026-07-13,005850,에스엘,55700,2587182564000,6933988800,1,universe_startup
2026-07-13,161890,한국콜마,106500,2513940700500,34276400450,1,universe_startup
2026-07-13,085620,미래에셋생명,18320,2476497600000,4727367930,1,universe_startup
2026-07-13,483650,달바글로벌,197900,2470715203500,30223864600,1,universe_startup
2026-07-13,375500,DL이앤씨,63300,2449306335900,22972034900,1,universe_startup
2026-07-13,003690,코리안리,13850,2447586279350,3560157075,1,universe_startup
2026-07-13,081660,미스토홀딩스,44650,2370550656000,11261530725,1,universe_startup
2026-07-13,004990,롯데지주,23400,2332132358400,4193356950,1,universe_startup
2026-07-13,204320,HL만도,49550,2326725296000,39197464675,1,universe_startup
2026-07-13,489790,한화비전,45300,2287124067000,10568194850,1,universe_startup
2026-07-13,008930,한미사이언스,33400,2284277770000,14232900350,1,universe_startup
2026-07-13,139480,이마트,81800,2257337994200,8073936200,1,universe_startup
2026-07-13,073240,금호타이어,7800,2240630238600,171100909545,1,universe_startup
2026-07-13,279570,케이뱅크,5520,2239437233520,8538733815,1,universe_startup
2026-07-13,007070,GS리테일,25950,2169612419250,5528046300,1,universe_startup
2026-07-13,004370,농심,356000,2165420552000,7666593250,1,universe_startup
2026-07-13,030000,제일기획,18810,2163925442250,8150946555,1,universe_startup
2026-07-13,282330,BGF리테일,123600,2136290781600,6024017450,1,universe_startup
2026-07-13,007340,DN오토모티브,35850,2097614510250,4651728100,1,universe_startup
2026-07-13,071970,HD현대마린엔진,61600,2089564092000,16974941700,1,universe_startup
2026-07-13,051600,한전KPS,45950,2067750000000,5767018650,1,universe_startup
2026-07-13,008770,호텔신라,50400,1978105298400,8326823150,1,universe_startup
2026-07-13,192820,코스맥스,172700,1960060204300,26090518100,1,universe_startup
2026-07-13,281820,케이씨텍,97400,1928389581400,30856290650,1,universe_startup
2026-07-13,457190,이수스페셜티케미컬,63100,1906810823200,6646325000,1,universe_startup
2026-07-13,020150,롯데에너지머티리얼즈,35600,1864210482800,7872840025,1,universe_startup
2026-07-13,002790,아모레퍼시픽홀딩스,24300,1857933774000,3095019825,1,universe_startup
2026-07-13,000155,두산우,464000,1854358368000,5194382250,1,universe_startup
2026-07-13,439260,대한조선,48250,1837781222500,3517970025,1,universe_startup
2026-07-13,103140,풍산,65100,1824380497800,9568024950,1,universe_startup
2026-07-13,00680K,미래에셋증권2우B,13240,1807260000000,4515606470,1,universe_startup
2026-07-13,007810,코리아써키트,73800,1769917356000,39996397850,1,universe_startup
2026-07-13,001740,SK네트웍스,8580,1721095567620,15952863150,1,universe_startup
2026-07-13,000120,CJ대한통운,73900,1685832221600,4223063400,1,universe_startup
2026-07-13,011210,현대위아,61900,1683375637700,5517031200,1,universe_startup
2026-07-13,112610,씨에스윈드,39850,1680530409550,16587588050,1,universe_startup
2026-07-13,120110,코오롱인더,55900,1673983188800,8318697850,1,universe_startup
2026-07-13,009155,삼성전기우,565000,1642445960000,23882865000,1,universe_startup
2026-07-13,001800,오리온홀딩스,26800,1612198273600,4245112225,1,universe_startup
2026-07-13,097230,HJ중공업,17730,1600936449120,7544213315,1,universe_startup
2026-07-13,069620,대웅제약,131900,1528269242500,4729405000,1,universe_startup
2026-07-13,093370,후성,13740,1473688234200,119707012910,1,universe_startup
2026-07-13,475150,SK이터닉스,42850,1459771121400,70063118275,1,universe_startup
2026-07-13,006280,녹십자,123200,1439781481600,6766241700,1,universe_startup
2026-07-13,001120,LX인터내셔널,37100,1437996000000,3280993075,1,universe_startup
2026-07-13,229640,LS에코에너지,45850,1404150702150,5883690425,1,universe_startup
