week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2021-08-09,2021-08-06,2021-08-09,2021-08-13,035720,카카오,fallback,34,145500.0,146000.0,friday_liquidation,4,4947000.0,742.05,744.6,7446.0,4955809.4,8067.35,0.1631
2021-08-09,2021-08-06,2021-08-09,2021-08-13,000120,CJ대한통운,fallback,29,175000.0,166250.0,stop_loss,4,5075000.0,761.25,723.19,7231.88,4813294.94,-262466.31,-5.171
2021-08-17,2021-08-13,2021-08-17,2021-08-19,009150,삼성전기,fallback,5,179500.0,170525.0,stop_loss,2,897500.0,134.62,127.89,1278.94,851218.17,-46416.46,-5.171
2021-08-17,2021-08-13,2021-08-17,2021-08-19,034020,두산에너빌리티,fallback,49,20365.0,19346.75,stop_loss,2,997885.0,149.68,142.2,1421.99,946426.57,-51608.12,-5.171
2021-08-17,2021-08-13,2021-08-17,2021-08-18,011200,HMM,fallback,25,39150.0,40324.5,take_profit,1,978750.0,146.81,151.22,1512.17,1006449.11,27552.3,2.8146
2021-08-17,2021-08-13,2021-08-17,2021-08-20,298020,효성티앤씨,fallback,1,783000.0,743850.0,stop_loss,3,783000.0,117.45,111.58,1115.78,742622.65,-40494.8,-5.171
2021-08-17,2021-08-13,2021-08-17,2021-08-18,042700,한미반도체,fallback,60,17100.0,16245.0,stop_loss,1,1026000.0,153.9,146.21,1462.05,973091.74,-53062.16,-5.171
2021-08-17,2021-08-13,2021-08-17,2021-08-18,112610,씨에스윈드,fallback,12,78800.0,74500.0,stop_loss_gap_open,1,945600.0,141.84,134.1,1341.0,892524.9,-53216.94,-5.627
2021-08-17,2021-08-13,2021-08-17,2021-08-20,004000,롯데정밀화학,fallback,15,67500.0,64125.0,stop_loss,3,1012500.0,151.88,144.28,1442.81,960287.91,-52363.97,-5.171
2021-08-17,2021-08-13,2021-08-17,2021-08-17,000150,두산,fallback,11,93600.0,88920.0,stop_loss,0,1029600.0,154.44,146.72,1467.18,976506.1,-53248.34,-5.171
2021-08-17,2021-08-13,2021-08-17,2021-08-17,052690,한전기술,fallback,22,48000.0,45600.0,stop_loss,0,1056000.0,158.4,150.48,1504.8,1001544.72,-54613.68,-5.171
2021-08-17,2021-08-13,2021-08-17,2021-08-18,005850,에스엘,fallback,37,29600.0,28120.0,stop_loss,1,1095200.0,164.28,156.07,1560.66,1038723.27,-56641.01,-5.171
2021-08-23,2021-08-20,2021-08-23,2021-08-23,352820,하이브,fallback,3,274500.0,282735.0,take_profit,0,823500.0,123.53,127.23,1272.31,846805.46,23181.94,2.8146
2021-08-23,2021-08-20,2021-08-23,2021-08-23,298050,HS효성첨단소재,fallback,1,520000.0,535600.0,take_profit,0,520000.0,78.0,80.34,803.4,534716.26,14638.26,2.8146
2021-08-23,2021-08-20,2021-08-23,2021-08-27,030200,KT,fallback,31,32300.0,32400.0,friday_liquidation,4,1001300.0,150.19,150.66,1506.6,1002742.74,1292.55,0.1291
2021-08-23,2021-08-20,2021-08-23,2021-08-24,010130,고려아연,fallback,2,490000.0,504700.0,take_profit,1,980000.0,147.0,151.41,1514.1,1007734.49,27587.49,2.8146
2021-08-23,2021-08-20,2021-08-23,2021-08-24,009420,한올바이오파마,fallback,46,22050.0,22711.5,take_profit,1,1014300.0,152.15,156.71,1567.09,1043005.2,28553.05,2.8146
2021-08-23,2021-08-20,2021-08-23,2021-08-23,010120,LS ELECTRIC,fallback,84,12280.0,12648.4,take_profit,0,1031520.0,154.73,159.37,1593.7,1060712.53,29037.8,2.8146
2021-08-23,2021-08-20,2021-08-23,2021-08-24,120110,코오롱인더,fallback,14,71900.0,74057.0,take_profit,1,1006600.0,150.99,155.52,1555.2,1035087.28,28336.29,2.8146
2021-08-23,2021-08-20,2021-08-23,2021-08-24,069260,TKG휴켐스,fallback,44,23250.0,23947.5,take_profit,1,1023000.0,153.45,158.05,1580.54,1051951.41,28797.96,2.8146
2021-08-23,2021-08-20,2021-08-23,2021-08-23,008930,한미사이언스,fallback,15,67994.0,70033.82,take_profit,0,1019910.0,152.99,157.58,1575.76,1048773.96,28710.98,2.8146
2021-08-23,2021-08-20,2021-08-23,2021-08-24,064350,현대로템,fallback,47,23100.0,23900.0,take_profit_gap_open,1,1085700.0,162.85,168.5,1684.95,1121446.55,35583.7,3.277
2021-08-30,2021-08-27,2021-08-30,2021-09-02,285130,SK케미칼,fallback,54,178476.0,183830.28,take_profit,3,9637704.0,1445.66,1489.03,14890.25,9910455.84,271306.19,2.8146
2021-09-23,2021-09-17,2021-09-23,2021-09-23,302440,SK바이오사이언스,fallback,36,259000.0,266770.0,take_profit,0,9324000.0,1398.6,1440.56,14405.58,9587873.86,262475.26,2.8146
2021-09-27,2021-09-24,2021-09-27,2021-09-27,006280,녹십자,fallback,29,342000.0,352260.0,take_profit,0,9918000.0,1487.7,1532.33,15323.31,10198684.36,279196.66,2.8146
2021-10-05,2021-10-01,2021-10-05,2021-10-05,011790,SKC,fallback,6,152269.0,156837.07,take_profit,0,913614.0,137.04,141.15,1411.53,939469.73,25718.69,2.8146
2021-10-05,2021-10-01,2021-10-05,2021-10-06,002380,KCC,fallback,2,393000.0,373350.0,stop_loss,1,786000.0,117.9,112.0,1120.05,745467.94,-40649.96,-5.171
2021-10-05,2021-10-01,2021-10-05,2021-10-06,014820,동원시스템즈,fallback,18,58800.0,55860.0,stop_loss,1,1058400.0,158.76,150.82,1508.22,1003820.96,-54737.8,-5.171
2021-10-05,2021-10-01,2021-10-05,2021-10-05,000150,두산,fallback,11,91100.0,93833.0,take_profit,0,1002100.0,150.31,154.82,1548.24,1030459.93,28209.62,2.8146
2021-10-05,2021-10-01,2021-10-05,2021-10-05,138040,메리츠금융지주,fallback,34,31150.0,32084.5,take_profit,0,1059100.0,158.87,163.63,1636.31,1089073.06,29814.19,2.8146
2021-10-05,2021-10-01,2021-10-05,2021-10-08,298040,효성중공업,fallback,15,71900.0,74700.0,take_profit_gap_open,3,1078500.0,161.78,168.07,1680.75,1118651.18,39989.4,3.7073
