session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-26,081660,2026-06-26 09:30:42,2026-06-26 09:54:10,11,38300,38900,421300,427900,take_profit,1.5666
2026-06-26,081660,2026-06-26 09:54:46,2026-06-26 10:00:51,11,38900,39250,427900,431750,take_profit,0.8997
2026-06-26,001340,2026-06-26 10:00:57,2026-06-26 10:01:40,71,6110,6170,433810,438070,take_profit,0.982
2026-06-26,192080,2026-06-26 10:00:57,2026-06-26 10:08:33,7,59800,60400,418600,422800,take_profit,1.0033
2026-06-26,009970,2026-06-26 10:08:33,2026-06-26 11:16:15,2,165400,167600,330800,335200,take_profit,1.3301
2026-06-26,029780,2026-06-26 11:20:12,2026-06-26 14:14:32,9,46050,45350,414450,408150,force_exit_last_trace,-1.5201
