session_date,starting_capital_krw,total_profit_krw,total_fee_krw,total_tax_krw,total_buy_amount_krw,total_sell_amount_krw,total_return_percent,total_return_percent_on_starting_capital,traded_tickers
2026-06-25,1118590,-6018,560,3358,1867850,1865750,-0.3222,-0.5380,"000500,204320,010120,005490,009830,096770"
2026-06-26,1304643,-2407,458,2749,1526400,1527200,-0.1577,-0.1845,"373220,192080,009970,000120"
